check	type	field	expected	source	line	status
sizeof	InteractStateInfo		0x598	src\animation\nal.cpp	27626	COMPILE_ASSERT_PRESENT
sizeof	AnimBankManager		0x190	src\animation\nal.cpp	37099	COMPILE_ASSERT_PRESENT
sizeof	bdStringData		12	src\bd\bd_types.h	35	COMPILE_ASSERT_PRESENT
sizeof	bdString		4	src\bd\bd_types.h	49	COMPILE_ASSERT_PRESENT
sizeof	bdLogImpl		8	src\bd\bd_types.h	136	COMPILE_ASSERT_PRESENT
sizeof	bdReference<bdReferencable>		4	src\bd\bd_types.h	165	COMPILE_ASSERT_PRESENT
sizeof	bdInAddr		4	src\bd\bd_types.h	192	COMPILE_ASSERT_PRESENT
sizeof	bdInetAddr		4	src\bd\bd_types.h	228	COMPILE_ASSERT_PRESENT
sizeof	bdAddr		8	src\bd\bd_types.h	258	COMPILE_ASSERT_PRESENT
offsetof	bdAddr	m_port	0x04	src\bd\bd_types.h	259	COMPILE_ASSERT_PRESENT
sizeof	bdSocket		0x08	src\bd\bd_types.h	329	COMPILE_ASSERT_PRESENT
sizeof	bdBuffer		0x0C	src\bd\bd_types.h	340	COMPILE_ASSERT_PRESENT
sizeof	bdFastArray<char>		0x0C	src\bd\bd_types.h	416	COMPILE_ASSERT_PRESENT
sizeof	bdArray<char>		0x0C	src\bd\bd_types.h	428	COMPILE_ASSERT_PRESENT
sizeof	bdByteBuffer		0x18	src\bd\bd_types.h	446	COMPILE_ASSERT_PRESENT
offsetof	bdByteBuffer	m_size	0x08	src\bd\bd_types.h	447	COMPILE_ASSERT_PRESENT
offsetof	bdByteBuffer	m_data	0x0C	src\bd\bd_types.h	448	COMPILE_ASSERT_PRESENT
sizeof	bdBitBuffer		0x24	src\bd\bd_types.h	547	COMPILE_ASSERT_PRESENT
offsetof	bdBitBuffer	m_data	0x08	src\bd\bd_types.h	548	COMPILE_ASSERT_PRESENT
offsetof	bdBitBuffer	m_writePosition	0x14	src\bd\bd_types.h	549	COMPILE_ASSERT_PRESENT
offsetof	bdBitBuffer	m_readPosition	0x1C	src\bd\bd_types.h	550	COMPILE_ASSERT_PRESENT
sizeof	bdMessage		0x18	src\bd\bd_types.h	576	COMPILE_ASSERT_PRESENT
offsetof	bdMessage	m_type	0x08	src\bd\bd_types.h	577	COMPILE_ASSERT_PRESENT
offsetof	bdMessage	m_payload	0x0C	src\bd\bd_types.h	578	COMPILE_ASSERT_PRESENT
offsetof	bdMessage	m_unencPayload	0x14	src\bd\bd_types.h	579	COMPILE_ASSERT_PRESENT
sizeof	XNADDR		0x24	src\bd\bd_types.h	592	COMPILE_ASSERT_PRESENT
sizeof	bdCommonAddr		0x40	src\bd\bd_types.h	636	COMPILE_ASSERT_PRESENT
offsetof	bdCommonAddr	m_addr	0x08	src\bd\bd_types.h	637	COMPILE_ASSERT_PRESENT
offsetof	bdCommonAddr	m_port	0x2C	src\bd\bd_types.h	638	COMPILE_ASSERT_PRESENT
offsetof	bdCommonAddr	m_hash	0x34	src\bd\bd_types.h	639	COMPILE_ASSERT_PRESENT
offsetof	bdCommonAddr	m_natType	0x3C	src\bd\bd_types.h	640	COMPILE_ASSERT_PRESENT
sizeof	bdAddrHandle		0x10	src\bd\bd_types.h	655	COMPILE_ASSERT_PRESENT
offsetof	bdAddrHandle	m_addr	0x08	src\bd\bd_types.h	656	COMPILE_ASSERT_PRESENT
offsetof	bdAddrHandle	m_port	0x0C	src\bd\bd_types.h	657	COMPILE_ASSERT_PRESENT
sizeof	bdConnectionStatistics		0x40	src\bd\bd_types.h	698	COMPILE_ASSERT_PRESENT
offsetof	bdConnectionStatistics	m_bytesSent	0x00	src\bd\bd_types.h	699	COMPILE_ASSERT_PRESENT
offsetof	bdConnectionStatistics	m_packetsRecv	0x30	src\bd\bd_types.h	700	COMPILE_ASSERT_PRESENT
offsetof	bdConnectionStatistics	m_avgRTT	0x3C	src\bd\bd_types.h	701	COMPILE_ASSERT_PRESENT
sizeof	bdLinkedList<char>		0x0C	src\bd\bd_types.h	840	COMPILE_ASSERT_PRESENT
sizeof	bdQueue<char>		0x0C	src\bd\bd_types.h	872	COMPILE_ASSERT_PRESENT
sizeof	bdGapAckBlock		0x08	src\bd\bd_types.h	884	COMPILE_ASSERT_PRESENT
sizeof	bdChunk		0x0C	src\bd\bd_types.h	904	COMPILE_ASSERT_PRESENT
sizeof	bdHeartbeatChunk		0x10	src\bd\bd_types.h	925	COMPILE_ASSERT_PRESENT
sizeof	bdHeartbeatAckChunk		0x10	src\bd\bd_types.h	946	COMPILE_ASSERT_PRESENT
sizeof	bdShutdownChunk		0x10	src\bd\bd_types.h	967	COMPILE_ASSERT_PRESENT
sizeof	bdShutdownAckChunk		0x10	src\bd\bd_types.h	988	COMPILE_ASSERT_PRESENT
sizeof	bdShutdownCompleteChunk		0x10	src\bd\bd_types.h	1009	COMPILE_ASSERT_PRESENT
sizeof	bdCookie		0x18	src\bd\bd_types.h	1037	COMPILE_ASSERT_PRESENT
sizeof	bdCookieEchoChunk		0x18	src\bd\bd_types.h	1062	COMPILE_ASSERT_PRESENT
sizeof	bdCookieAckChunk		0x10	src\bd\bd_types.h	1083	COMPILE_ASSERT_PRESENT
sizeof	bdInitChunk		0x1C	src\bd\bd_types.h	1110	COMPILE_ASSERT_PRESENT
sizeof	bdInitAckChunk		0x24	src\bd\bd_types.h	1141	COMPILE_ASSERT_PRESENT
sizeof	bdPacket		0x24	src\bd\bd_types.h	1171	COMPILE_ASSERT_PRESENT
sizeof	bdPacket		0x24	src\bd\bd_types.h	1173	COMPILE_ASSERT_PRESENT
sizeof	bdDataChunk		0x18	src\bd\bd_types.h	1210	COMPILE_ASSERT_PRESENT
offsetof	bdDataChunk	m_message	0x10	src\bd\bd_types.h	1211	COMPILE_ASSERT_PRESENT
offsetof	bdDataChunk	m_flags	0x14	src\bd\bd_types.h	1212	COMPILE_ASSERT_PRESENT
offsetof	bdDataChunk	m_sequenceNumber	0x16	src\bd\bd_types.h	1213	COMPILE_ASSERT_PRESENT
sizeof	bdSAckChunk		0x28	src\bd\bd_types.h	1248	COMPILE_ASSERT_PRESENT
offsetof	bdSAckChunk	m_flags	0x10	src\bd\bd_types.h	1249	COMPILE_ASSERT_PRESENT
offsetof	bdSAckChunk	m_cumulativeAck	0x14	src\bd\bd_types.h	1250	COMPILE_ASSERT_PRESENT
offsetof	bdSAckChunk	m_gapList	0x18	src\bd\bd_types.h	1251	COMPILE_ASSERT_PRESENT
offsetof	bdSAckChunk	m_windowCredit	0x24	src\bd\bd_types.h	1252	COMPILE_ASSERT_PRESENT
