obj	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
nslCompat.o	21	21	0	0	0	0	0
nslDriverXBOXDSOUND.o	56	13	43	0	0	0	0
nslGroup.o	8	8	0	0	0	0	0
nslInit.o	7	7	0	0	0	0	0
nslListener.o	7	7	0	0	0	0	0
nslMaster.o	16	16	0	0	0	0	0
nslMemory.o	2	2	0	0	0	0	0
nslPriority.o	7	7	0	0	0	0	0
nslSource.o	69	68	1	0	0	0	0
nslUpdate.o	2	2	0	0	0	0	0
nslVoice.o	5	5	0	0	0	0	0
nslWave.o	15	15	0	0	0	0	0
nslWaveBank.o	48	48	0	0	0	0	0
nslWaveBankFixup.o	1	1	0	0	0	0	0
nslWaveBankLoader.o	5	5	0	0	0	0	0
nslWaveBankSort.o	3	3	0	0	0	0	0
nurand.obj	1	0	0	1	0	0	0
nvl_afmv.o	32	19	13	0	0	0	0
nvl_base.o	23	22	1	0	0	0	0
nvl_xbox.o	11	6	5	0	0	0	0
ohcd.obj	21	0	0	21	0	0	0
oladd.obj	1	0	0	1	0	0	0
onexit.obj	3	0	0	3	0	0	0
open.obj	2	0	0	2	0	0	0
osfinfo.obj	7	0	0	7	0	0	0
outbufsc.obj	2	0	0	2	0	0	0
output.obj	1	0	0	1	0	0	0
outputdebugstringa.obj	8	0	0	8	0	0	0
outputdebugstringw.obj	1	0	0	1	0	0	0
overadd.obj	3	0	0	3	0	0	0
packsc.obj	2	0	0	2	0	0	0
painttext.obj	13	0	0	13	0	0	0
pathmisc.obj	13	0	0	13	0	0	0
pathname.obj	10	0	0	10	0	0	0
peakpick.obj	1	0	0	1	0	0	0
perfctr.obj	2	0	0	2	0	0	0
phys_collision.o	24	5	19	0	0	0	0
phys_constraint_solver_multithreaded.o	184	15	169	0	0	0	0
phys_contact_manifold.o	26	7	19	0	0	0	0
phys_gjk.o	37	9	28	0	0	0	0
phys_util.o	11	0	11	0	0	0	0
physical.obj	6	0	0	6	0	0	0
physics.o	747	313	434	0	0	0	0
physics_system.o	313	18	295	0	0	0	0
physics_system_internal.o	154	18	136	0	0	0	0
pifst.obj	1	0	0	1	0	0	0
piint.obj	1	0	0	1	0	0	0
pipedelay_dual.obj	5	0	0	5	0	0	0
pixeljar.obj	16	0	0	16	0	0	0
pixelshader.obj	20	0	0	20	0	0	0
pixelshaderopt.obj	30	0	0	30	0	0	0
pixelshaderoptimizer.obj	39	0	0	39	0	0	0
pixelshaderverifier.obj	65	0	0	65	0	0	0
players.obj	66	0	0	66	0	0	0
plugin.obj	35	0	0	35	0	0	0
png.obj	15	0	0	15	0	0	0
pngerror.obj	6	0	0	6	0	0	0
pngget.obj	9	0	0	9	0	0	0
pngmem.obj	6	0	0	6	0	0	0
pngread.obj	12	0	0	12	0	0	0
pngrio.obj	2	0	0	2	0	0	0
pngrtran.obj	21	0	0	21	0	0	0
pngrutil.obj	18	0	0	18	0	0	0
pngset.obj	7	0	0	7	0	0	0
pngtrans.obj	6	0	0	6	0	0	0
polyintp.obj	1	0	0	1	0	0	0
pool.obj	9	0	0	9	0	0	0
postfilt.obj	1	0	0	1	0	0	0
pow.obj	3	0	0	3	0	0	0
powerdwn.obj	4	0	0	4	0	0	0
powhlp.obj	2	0	0	2	0	0	0
preproc.obj	3	0	0	3	0	0	0
preprocessor.obj	85	0	0	85	0	0	0
presence.obj	88	0	0	88	0	0	0
present.obj	5	0	0	5	0	0	0
presmsg.obj	66	0	0	66	0	0	0
printf.obj	1	0	0	1	0	0	0
process.obj	5	0	0	5	0	0	0
psalloc.obj	16	0	0	16	0	0	0
psbitervca.obj	2	0	0	2	0	0	0
psbitrevm6a6as.obj	13	0	0	13	0	0	0
pscopyca.obj	26	0	0	26	0	0	0
pscopym6a6as.obj	16	0	0	16	0	0	0
psdp16sa6as.obj	6	0	0	6	0	0	0
psdp32fa6w7as.obj	3	0	0	3	0	0	0
psdpca.obj	15	0	0	15	0	0	0
psdppxm6ca.obj	3	0	0	3	0	0	0
psffts.obj	19	0	0	19	0	0	0
psfftsblka6as.obj	8	0	0	8	0	0	0
psfftsblkcn.obj	6	0	0	6	0	0	0
psfftscorea6as.obj	8	0	0	8	0	0	0
psfftscoreca.obj	1	0	0	1	0	0	0
psfftsmisca6as.obj	2	0	0	2	0	0	0
psfftsreca6as.obj	2	0	0	2	0	0	0
psfftsrecca.obj	2	0	0	2	0	0	0
pshader.obj	19	0	0	19	0	0	0
pshdrval.obj	32	0	0	32	0	0	0
psmax.obj	3	0	0	3	0	0	0
psmaxa6as.obj	1	0	0	1	0	0	0
psmaxa6w7as.obj	1	0	0	1	0	0	0
psmaxm6a6as.obj	1	0	0	1	0	0	0
psmin.obj	3	0	0	3	0	0	0
psmina6as.obj	1	0	0	1	0	0	0
psmina6w7as.obj	1	0	0	1	0	0	0
psminm6a6as.obj	1	0	0	1	0	0	0
psminmaxindxca.obj	6	0	0	6	0	0	0
psminmaxm6a6as.obj	10	0	0	10	0	0	0
ptchcand.obj	1	0	0	1	0	0	0
purevirt.obj	2	0	0	2	0	0	0
pusher.obj	53	0	0	53	0	0	0
pushres.obj	37	0	0	37	0	0	0
qp0sc3.obj	3	0	0	3	0	0	0
qsort.obj	1	0	0	1	0	0	0
quadpeak.obj	1	0	0	1	0	0	0
rand.obj	2	0	0	2	0	0	0
rate.obj	1	0	0	1	0	0	0
rb_ragdoll_model.o	92	22	70	0	0	0	0
rbc_def_contact.o	14	2	12	0	0	0	0
rbc_def_custom.o	4	2	2	0	0	0	0
rbc_def_generic.o	26	13	13	0	0	0	0
rbc_def_ragdoll.o	38	17	21	0	0	0	0
rbc_def_vehicle.o	46	10	36	0	0	0	0
rdi.obj	13	0	0	13	0	0	0
read.obj	2	0	0	2	0	0	0
realloc.obj	1	0	0	1	0	0	0
reboot.obj	9	0	0	9	0	0	0
recorder.obj	41	0	0	41	0	0	0
refinec0.obj	1	0	0	1	0	0	0
remotetalker.obj	45	0	0	45	0	0	0
render.o	1038	1032	6	0	0	0	0
resource.obj	30	0	0	30	0	0	0
rigid_body.o	13	7	6	0	0	0	0
roothub.obj	8	0	0	8	0	0	0
rsmsvq.obj	2	0	0	2	0	0	0
rtti.obj	3	0	0	3	0	0	0
s3tc.obj	7	0	0	7	0	0	0
s3tchelp.obj	2	0	0	2	0	0	0
sbit.obj	26	0	0	26	0	0	0
scale.obj	63	0	0	63	0	0	0
scalevec.obj	1	0	0	1	0	0	0
scanlist.obj	34	0	0	34	0	0	0
scbitmap.obj	7	0	0	7	0	0	0
scendpt.obj	12	0	0	12	0	0	0
scentry.obj	10	0	0	10	0	0	0
schedule.obj	7	0	0	7	0	0	0
scline.obj	4	0	0	4	0	0	0
scmemory.obj	3	0	0	3	0	0	0
scr.o	1540	905	635	0	0	0	0
scspline.obj	4	0	0	4	0	0	0
secchk.obj	1	0	0	1	0	0	0
seccinit.obj	1	0	0	1	0	0	0
secfail.obj	4	0	0	4	0	0	0
seevoc.obj	1	0	0	1	0	0	0
sehprolg.obj	2	0	0	2	0	0	0
sehsupp.obj	1	0	0	1	0	0	0
selepeak.obj	1	0	0	1	0	0	0
service.obj	1	0	0	1	0	0	0
setamps.obj	2	0	0	2	0	0	0
setjmp3.obj	1	0	0	1	0	0	0
setmode.obj	2	0	0	2	0	0	0
setvbuf.obj	1	0	0	1	0	0	0
sfntaccs.obj	40	0	0	40	0	0	0
shadersnapshot.obj	40	0	0	40	0	0	0
shell.o	2214	1756	458	0	0	0	0
sin.obj	1	0	0	1	0	0	0
skin.obj	22	0	0	22	0	0	0
snprintf.obj	1	0	0	1	0	0	0
snwprint.obj	1	0	0	1	0	0	0
sock.obj	141	0	0	141	0	0	0
socktcp.obj	95	0	0	95	0	0	0
sockudp.obj	10	0	0	10	0	0	0
spcbm.obj	4	0	0	4	0	0	0
sprintf.obj	2	0	0	2	0	0	0
sq.obj	2	0	0	2	0	0	0
sqlawpks.obj	1	0	0	1	0	0	0
sqrt.obj	1	0	0	1	0	0	0
sscanf.obj	1	0	0	1	0	0	0
state.obj	52	0	0	52	0	0	0
stats.obj	61	0	0	61	0	0	0
stdexcpt.obj	23	0	0	23	0	0	0
stftpks.obj	1	0	0	1	0	0	0
stordl.obj	9	0	0	9	0	0	0
storul.obj	44	0	0	44	0	0	0
storutil.obj	19	0	0	19	0	0	0
strcat.obj	2	0	0	2	0	0	0
strchr.obj	1	0	0	1	0	0	0
strcmp.obj	1	0	0	1	0	0	0
strcspn.obj	1	0	0	1	0	0	0
strdup.obj	2	0	0	2	0	0	0
stream.obj	1	0	0	1	0	0	0
streamer.o	730	345	385	0	0	0	0
strgtold.obj	2	0	0	2	0	0	0
stricmp.obj	2	0	0	2	0	0	0
string.obj	14	0	0	14	0	0	0
strlen.obj	1	0	0	1	0	0	0
strlwr.obj	2	0	0	2	0	0	0
strncat.obj	1	0	0	1	0	0	0
strncmp.obj	1	0	0	1	0	0	0
strncpy.obj	1	0	0	1	0	0	0
strnicmp.obj	2	0	0	2	0	0	0
strrchr.obj	1	0	0	1	0	0	0
strstr.obj	1	0	0	1	0	0	0
strtod.obj	1	0	0	1	0	0	0
strtok.obj	1	0	0	1	0	0	0
strtol.obj	2	0	0	2	0	0	0
strupr.obj	2	0	0	2	0	0	0
subfmsyn.obj	3	0	0	3	0	0	0
subpixel.obj	1	0	0	1	0	0	0
support.obj	2	0	0	2	0	0	0
surface.obj	11	0	0	11	0	0	0
surfacetofile.obj	1	0	0	1	0	0	0
sv.o	148	136	12	0	0	0	0
swizzler.obj	46	0	0	46	0	0	0
swprintf.obj	2	0	0	2	0	0	0
swsynth.obj	2	0	0	2	0	0	0
symmdec.obj	4	0	0	4	0	0	0
symwinsp.obj	1	0	0	1	0	0	0
synch.obj	22	0	0	22	0	0	0
tcpipxsum.obj	1	0	0	1	0	0	0
teams.obj	44	0	0	44	0	0	0
tenpow.obj	2	0	0	2	0	0	0
texture.obj	12	0	0	12	0	0	0
thread.obj	25	0	0	25	0	0	0
throw.obj	1	0	0	1	0	0	0
tidtable.obj	9	0	0	9	0	0	0
timing.obj	46	0	0	46	0	0	0
titlecache.obj	16	0	0	16	0	0	0
tl_initlist.o	1	1	0	0	0	0	0
tl_instbank.o	9	9	0	0	0	0	0
tl_system.o	25	23	2	0	0	0	0
tls.obj	4	0	0	4	0	0	0
tolower.obj	2	0	0	2	0	0	0
toupper.obj	2	0	0	2	0	0	0
towlower.obj	1	0	0	1	0	0	0
transfer.obj	15	0	0	15	0	0	0
tree.obj	35	0	0	35	0	0	0
trees.o	5	5	0	0	0	0	0
trnsctrl.obj	13	0	0	13	0	0	0
troubleshoot.obj	7	0	0	7	0	0	0
truetype.obj	3	0	0	3	0	0	0
tx.o	5	5	0	0	0	0	0
txPath.o	11	11	0	0	0	0	0
txSlotPool.o	15	15	0	0	0	0	0
tx_tl.o	8	8	0	0	0	0	0
typeinfo.obj	2	0	0	2	0	0	0
typinfo.obj	9	0	0	9	0	0	0
tzset.obj	3	0	0	3	0	0	0
uiobj.obj	24	0	0	24	0	0	0
uixlogon.obj	87	0	0	87	0	0	0
ulldiv.obj	1	0	0	1	0	0	0
ullrem.obj	1	0	0	1	0	0	0
ullshr.obj	1	0	0	1	0	0	0
uncompr.o	1	1	0	0	0	0	0
ungetc.obj	2	0	0	2	0	0	0
unhandld.obj	3	0	0	3	0	0	0
unzip.o	18	0	18	0	0	0	0
upload.obj	27	0	0	27	0	0	0
upnpnat.obj	20	0	0	20	0	0	0
usbd.obj	9	0	0	9	0	0	0
usbdev.obj	31	0	0	31	0	0	0
usbinit.obj	4	0	0	4	0	0	0
usbmem.obj	2	0	0	2	0	0	0
users.obj	23	0	0	23	0	0	0
util.obj	11	0	0	11	0	0	0
uvphase.obj	1	0	0	1	0	0	0
valbase.obj	21	0	0	21	0	0	0
validate.obj	3	0	0	3	0	0	0
vfntcreatefont.obj	3	0	0	3	0	0	0
vfntinterface.obj	3	0	0	3	0	0	0
vfntutility.obj	10	0	0	10	0	0	0
vfprintf.obj	1	0	0	1	0	0	0
virtual.obj	9	0	0	9	0	0	0
voicechatmode.obj	91	0	0	91	0	0	0
voicecodecsutils.obj	2	0	0	2	0	0	0
voicedecoder.obj	4	0	0	4	0	0	0
voiceencoder.obj	11	0	0	11	0	0	0
voicemail.obj	53	0	0	53	0	0	0
voicemailmode.obj	27	0	0	27	0	0	0
voicing.obj	2	0	0	2	0	0	0
voicld.obj	2	0	0	2	0	0	0
vq2.obj	2	0	0	2	0	0	0
vshader.obj	36	0	0	36	0	0	0
vshdrval.obj	31	0	0	31	0	0	0
vsnprint.obj	1	0	0	1	0	0	0
vsnwprnt.obj	1	0	0	1	0	0	0
vsprintf.obj	2	0	0	2	0	0	0
vswprint.obj	2	0	0	2	0	0	0
warp.obj	2	0	0	2	0	0	0
wavexmo.obj	41	0	0	41	0	0	0
wcscat.obj	2	0	0	2	0	0	0
wcschr.obj	1	0	0	1	0	0	0
wcscmp.obj	1	0	0	1	0	0	0
wcsicmp.obj	1	0	0	1	0	0	0
wcslen.obj	1	0	0	1	0	0	0
wcsncpy.obj	1	0	0	1	0	0	0
wcsnicmp.obj	1	0	0	1	0	0	0
wcsstr.obj	1	0	0	1	0	0	0
wctomb.obj	1	0	0	1	0	0	0
widechar.obj	4	0	0	4	0	0	0
window.obj	1	0	0	1	0	0	0
winsig.obj	4	0	0	4	0	0	0
winxfltr.obj	2	0	0	2	0	0	0
wmavoicedec.obj	7	0	0	7	0	0	0
wmavoiceenc.obj	6	0	0	6	0	0	0
wmsacbsearch.obj	6	0	0	6	0	0	0
wmsasearch.obj	5	0	0	5	0	0	0
wmsauxcode.obj	49	0	0	49	0	0	0
wmsbitratecontrol.obj	11	0	0	11	0	0	0
wmsclc.obj	3	0	0	3	0	0	0
wmsconfig.obj	10	0	0	10	0	0	0
wmsdec.obj	27	0	0	27	0	0	0
wmsdecfuncs.obj	4	0	0	4	0	0	0
wmsdecstream.obj	21	0	0	21	0	0	0
wmsenc.obj	14	0	0	14	0	0	0
wmsencode.obj	12	0	0	12	0	0	0
wmsencstream.obj	11	0	0	11	0	0	0
wmsexe.obj	4	0	0	4	0	0	0
wmsfcbsrch.obj	14	0	0	14	0	0	0
wmsfilcode.obj	5	0	0	5	0	0	0
wmshypprocess.obj	1	0	0	1	0	0	0
wmslpc.obj	2	0	0	2	0	0	0
wmslsp.obj	2	0	0	2	0	0	0
wmslspqnt.obj	5	0	0	5	0	0	0
wmsmdfyres.obj	11	0	0	11	0	0	0
wmspacket.obj	4	0	0	4	0	0	0
wmsparsebits.obj	3	0	0	3	0	0	0
wmspitchclass.obj	13	0	0	13	0	0	0
wmsquantize_g.obj	4	0	0	4	0	0	0
wmssynth_spch.obj	9	0	0	9	0	0	0
wmswintool.obj	6	0	0	6	0	0	0
woutput.obj	1	0	0	1	0	0	0
write.obj	2	0	0	2	0	0	0
x10fout.obj	1	0	0	1	0	0	0
xapi0.obj	2	0	0	2	0	0	0
xapi0dat.obj	2	0	0	2	0	0	0
xapidlla.obj	1	0	0	1	0	0	0
xapiheap.obj	20	0	0	20	0	0	0
xapiinit.obj	7	0	0	7	0	0	0
xapiterm.obj	3	0	0	3	0	0	0
xbdm.dll	1	0	0	1	0	0	0
xbosutil.obj	2	0	0	2	0	0	0
xboxkrnl.exe	167	0	0	167	0	0	0
xcalcsig.obj	15	0	0	15	0	0	0
xclndrv.obj	2	0	0	2	0	0	0
xcontent.obj	22	0	0	22	0	0	0
xemodule.obj	6	0	0	6	0	0	0
xfont.obj	35	0	0	35	0	0	0
xgetaudioflags.obj	1	0	0	1	0	0	0
xgetautologon.obj	1	0	0	1	0	0	0
xgetavpack.obj	1	0	0	1	0	0	0
xgetgameregion.obj	1	0	0	1	0	0	0
xgetlanguage.obj	1	0	0	1	0	0	0
xgetparentalcontrolsetting.obj	1	0	0	1	0	0	0
xgetvideoflags.obj	1	0	0	1	0	0	0
xgetvideostandard.obj	1	0	0	1	0	0	0
xhvengine.obj	83	0	0	83	0	0	0
xhvutils.obj	36	0	0	36	0	0	0
xid.obj	31	0	0	31	0	0	0
xidinp.obj	9	0	0	9	0	0	0
xmem.obj	3	0	0	3	0	0	0
xnet.obj	120	0	0	120	0	0	0
xnetp.obj	36	0	0	36	0	0	0
xonline.obj	175	0	0	175	0	0	0
xonlzx.obj	8	0	0	8	0	0	0
xontask.obj	4	0	0	4	0	0	0
xpp.obj	5	0	0	5	0	0	0
xqueryvalue.obj	1	0	0	1	0	0	0
xrltask.obj	10	0	0	10	0	0	0
xrlutil.obj	22	0	0	22	0	0	0
xsaveapi.obj	12	0	0	12	0	0	0
xtoa.obj	5	0	0	5	0	0	0
zipcode.obj	2	0	0	2	0	0	0
zutil.o	5	5	0	0	0	0	0
